Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
Jul 19 (2),NYY,,SLB,L4-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0.338,0.371,0.591,0.962,3,1.32,-0.086,4.94,-0.19%,-0.85,LF,-0.19%,-0.85,LF
21-Jul,NYY,@,SLB,L4-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0.337,0.37,0.587,0.957,3,1.34,-0.066,5.79,-0.17%,-0.27,RF,-0.17%,-0.27,RF
22-Jul,NYY,@,SLB,L5-6,CG,5,4,2,2,0,0,1,2,0,0,0,0,1,,0,,0,0,0.339,0.371,0.595,0.966,3,1.54,0.149,7.07,0.41%,0.81,RF,0.41%,0.81,RF
23-Jul,NYY,@,SLB,W15-3,CG,6,3,2,3,0,0,2,4,2,0,0,1,0,,0,,0,0,0.345,0.382,0.616,0.998,3,0.41,0.211,2.06,0.63%,4.3,RF,0.63%,4.3,RF
25-Jul,NYY,@,CHW,W5-3,CG,5,4,0,1,0,0,0,2,1,0,0,0,0,,0,,0,0,0.344,0.382,0.612,0.994,3,1.3,0.053,7.31,0.18%,0.08,RF,0.18%,0.08,RF
Jul 26 (1),NYY,@,CHW,W12-3,CG,5,5,3,1,0,0,1,2,0,0,0,0,0,,1,,0,0,0.342,0.38,0.614,0.994,3,0.55,0.024,2.43,0.06%,0.92,RF,0.06%,0.92,RF
Jul 26 (2),NYY,@,CHW,W11-8,CG(11),6,6,0,1,0,1,0,1,0,0,0,0,0,,0,,0,0,0.339,0.376,0.613,0.989,3,1.24,-0.042,5.03,-0.10%,-0.34,RF,-0.10%,-0.34,RF
27-Jul,NYY,@,DET,L1-9,CG,4,4,0,2,0,1,0,0,0,0,1,0,0,,0,,0,0,0.341,0.378,0.617,0.995,3,0.68,0.04,2.33,0.08%,0.19,RF,0.08%,0.19,RF
28-Jul,NYY,@,DET,W16-6,CG,6,6,3,3,0,0,0,1,0,0,0,0,0,,1,,0,0,0.343,0.38,0.615,0.995,3,0.4,0.123,1.53,0.28%,2.4,RF,0.28%,2.4,RF
29-Jul,NYY,@,DET,W13-3,CG,6,6,3,3,0,1,0,4,0,0,0,0,0,,1,,0,0,0.346,0.381,0.619,1,3,0.46,0.162,1.53,0.32%,4.27,RF,0.32%,4.27,RF
30-Jul,NYY,@,DET,L4-5,CG(10),5,5,0,1,0,0,0,0,0,0,2,0,0,,1,,0,0,0.344,0.379,0.613,0.992,3,0.93,-0.026,2.78,-0.05%,-0.61,RF,-0.05%,-0.61,RF
31-Jul,NYY,@,CLE,W11-7,CG,6,6,1,1,0,0,0,0,0,0,0,0,0,,2,,0,0,0.341,0.376,0.606,0.982,3,0.53,0.053,2.84,0.17%,0.06,CF,0.17%,0.06,CF
1-Aug,NYY,@,CLE,W5-4,CG(10),5,5,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0.342,0.376,0.603,0.979,3,1.42,0.058,5.82,0.14%,0.08,CF,0.14%,0.08,CF
2-Aug,NYY,@,CLE,T4-4,CG(16),8,8,1,2,0,1,0,0,0,0,0,0,0,,0,,0,0,0.34,0.374,0.601,0.975,3,2,-0.178,6.27,-0.33%,-1.19,CF,-0.33%,-1.19,CF
4-Aug,NYY,@,BOS,W4-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,,1,,0,0,0.339,0.373,0.597,0.97,3,1.03,0.008,1.88,0.01%,0.25,RF,0.01%,0.25,RF
5-Aug,NYY,@,BOS,W7-2,CG,5,5,2,2,1,0,1,2,0,0,0,0,0,,0,,0,0,0.34,0.373,0.605,0.978,3,0.39,0.165,0.52,0.13%,1.15,CF,0.13%,1.15,CF
8-Aug,NYY,,PHA,W4-0,CG,4,4,0,0,0,0,0,1,0,0,1,0,0,,0,,0,0,0.337,0.369,0.599,0.968,3,0.48,-0.023,0.57,-0.02%,-0.78,CF,-0.02%,-0.78,CF
Aug 9 (1),NYY,,PHA,W7-6,CG(10),5,5,1,1,0,0,1,1,0,0,0,0,0,,0,,0,0,0.335,0.367,0.601,0.969,3,1.06,-0.108,0.82,-0.05%,-0.12,CF,-0.05%,-0.12,CF
Aug 9 (2),NYY,,PHA,W3-0,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0.337,0.369,0.6,0.969,3,0.7,0.051,0.52,0.02%,0.54,CF,0.02%,0.54,CF
10-Aug,NYY,,WSH,L4-13,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.336,0.368,0.597,0.965,3,0.73,-0.045,0.43,-0.02%,-0.24,CF,-0.02%,-0.24,CF
11-Aug,NYY,,WSH,L3-7,CG,4,4,0,1,1,0,0,1,0,0,0,0,0,,0,,0,0,0.335,0.367,0.596,0.963,3,0.61,0.008,0.43,0.00%,0.31,CF,0.00%,0.31,CF
12-Aug,NYY,,WSH,W11-7,CG,5,4,0,2,1,0,0,1,1,0,0,0,0,,0,,0,0,0.336,0.369,0.598,0.967,3,0.61,0.002,0.58,0.00%,0.79,CF,0.00%,0.79,CF
14-Aug,NYY,@,PHA,L5-10,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0.333,0.365,0.591,0.956,3,0.87,-0.147,0.53,-0.05%,-1.68,RF,-0.05%,-1.68,RF
15-Aug,NYY,@,PHA,W16-2,CG,5,4,1,0,0,0,0,1,1,0,0,0,0,,0,,0,0,0.329,0.363,0.585,0.948,3,0.49,-0.119,0.48,-0.07%,-1.09,RF CF,-0.07%,-1.09,RF CF
Aug 16 (1),NYY,@,PHA,W10-2,CG,5,5,1,3,1,0,1,3,0,0,0,0,0,,0,,0,0,0.333,0.366,0.595,0.96,3,0.51,0.194,0.24,0.06%,2.02,CF,0.06%,2.02,CF
Aug 16 (2),NYY,@,PHA,L1-2,CG,4,4,0,1,0,1,0,0,0,0,0,0,0,,0,,0,0,0.332,0.365,0.596,0.961,3,1.17,-0.085,0.56,-0.03%,-0.34,CF,-0.03%,-0.34,CF
17-Aug,NYY,@,WSH,L5-7,CG,5,5,2,3,0,0,1,2,0,0,1,0,0,,0,,0,0,0.335,0.367,0.603,0.97,3,0.87,-0.032,0.4,-0.01%,0.74,CF,-0.01%,0.74,CF
18-Aug,NYY,@,WSH,L2-9,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0.331,0.363,0.596,0.959,3,0.6,-0.134,0.32,-0.04%,-3.06,CF,-0.04%,-3.06,CF
19-Aug,NYY,@,WSH,W7-4,CG,5,5,2,3,0,0,1,1,0,0,0,0,0,,0,,0,0,0.334,0.366,0.603,0.969,3,0.79,0.242,0.42,0.08%,1.87,CF,0.08%,1.87,CF
21-Aug,NYY,,BOS,W4-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0.332,0.365,0.599,0.964,3,0.63,-0.038,0.23,-0.01%,-0.48,CF,-0.01%,-0.48,CF
22-Aug,NYY,,BOS,W3-2,CG(13),6,6,0,1,0,1,0,1,0,0,0,0,0,,1,,0,0,0.33,0.363,0.597,0.96,3,1.87,-0.031,0.65,-0.01%,-0.26,CF,-0.01%,-0.26,CF
Aug 23 (1),NYY,,BOS,W5-3,CG,4,4,1,2,1,0,1,2,0,0,1,0,0,,0,,0,0,0.331,0.364,0.605,0.969,3,0.88,0.123,0.21,0.02%,1.58,CF,0.02%,1.58,CF
Aug 23 (2),NYY,,BOS,L3-6,CG,5,5,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0.332,0.364,0.603,0.967,3,0.91,0.053,0.19,0.01%,0.54,CF,0.01%,0.54,CF
25-Aug,NYY,,SLB,W13-1,CG,6,6,3,5,1,0,1,2,0,0,0,0,0,,0,,0,0,0.338,0.37,0.614,0.984,3,0.36,0.132,0.1,0.02%,2.61,CF,0.02%,2.61,CF
26-Aug,NYY,,SLB,L2-5,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0.34,0.371,0.615,0.986,3,0.75,-0.024,0.12,0.00%,-0.17,CF,0.00%,-0.17,CF
27-Aug,NYY,,SLB,W7-1,CG,4,4,2,3,0,1,0,0,0,0,0,0,0,,0,,0,0,0.343,0.374,0.62,0.994,3,0.35,0.046,0.05,0.00%,1.41,CF,0.00%,1.41,CF
Aug 28 (1),NYY,,DET,W14-5,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,,1,,0,0,0.341,0.372,0.616,0.988,3,0.45,0.016,0.06,0.00%,-0.12,CF,0.00%,-0.12,CF
Aug 28 (2),NYY,,DET,W19-4,CG(7),5,5,1,2,0,0,1,3,0,0,0,0,0,,0,,0,0,0.342,0.372,0.62,0.992,3,0.29,0.095,0.03,0.01%,0.55,CF,0.01%,0.55,CF
29-Aug,NYY,,DET,W6-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.339,0.369,0.615,0.984,3,0.58,-0.08,0.04,0.00%,-1.23,CF,0.00%,-1.23,CF
